"CENTRAL POLLUTION CONTROL BOARD","","","","","","","",""
"CONTINUOUS AMBIENT AIR QUALITY","","","","","","","",""
"Date: Sunday, Dec 20 2020","","","","","","","",""
"Time: 12:47:37 AM","","","","","","","",""
"State","Delhi","","","","","","",""
"City","Delhi","","","","","","",""
"Station","DTU, Delhi - CPCB","","","","","","",""
"Parameter","PM2.5","","","","","","",""
"AvgPeriod","24 Hours","","","","","","",""
"From","05-07-2020T00:00:00Z 00:00","","","","","","",""
"To","10-12-2020T00:00:59Z 00:00","","","","","","",""
"","","","","","","","",""
"DTU, Delhi - CPCB","","","","","","","",""
"Prescribed Standards"," ","0-60","","","","","",""
"Exceeding Standards"," ","NA","","","","","",""
"Remarks","","","","","","","",""
"From Date","To Date","PM2.5","","","","","",""
"05-07-2020 00:00","06-07-2020 00:00","22.04","","","","","",""
"06-07-2020 00:00","07-07-2020 00:00","47.58","","","","","",""
"07-07-2020 00:00","08-07-2020 00:00","22.5","","","","","",""
"08-07-2020 00:00","09-07-2020 00:00","25.32","","","","","",""
"09-07-2020 00:00","10-07-2020 00:00","39.72","","","","","",""
"10-07-2020 00:00","11-07-2020 00:00","31.72","","","","","",""
"11-07-2020 00:00","12-07-2020 00:00","23.06","","","","","",""
"12-07-2020 00:00","13-07-2020 00:00","20.62","","","","","",""
"13-07-2020 00:00","14-07-2020 00:00","35.96","","","","","",""
"14-07-2020 00:00","15-07-2020 00:00","46.87","","","","","",""
"15-07-2020 00:00","16-07-2020 00:00","41.51","","","","","",""
"16-07-2020 00:00","17-07-2020 00:00","33.08","","","","","",""
"17-07-2020 00:00","18-07-2020 00:00","44.54","","","","","",""
"18-07-2020 00:00","19-07-2020 00:00","39.98","","","","","",""
"19-07-2020 00:00","20-07-2020 00:00","20.75","","","","","",""
"20-07-2020 00:00","21-07-2020 00:00","18.28","","","","","",""
"21-07-2020 00:00","22-07-2020 00:00","19.82","","","","","",""
"22-07-2020 00:00","23-07-2020 00:00","29.61","","","","","",""
"23-07-2020 00:00","24-07-2020 00:00","37.76","","","","","",""
"24-07-2020 00:00","25-07-2020 00:00","59.47","","","","","",""
"25-07-2020 00:00","26-07-2020 00:00","35.22","","","","","",""
"26-07-2020 00:00","27-07-2020 00:00","44.33","","","","","",""
"27-07-2020 00:00","28-07-2020 00:00","36.06","","","","","",""
"28-07-2020 00:00","29-07-2020 00:00","36.13","","","","","",""
"29-07-2020 00:00","30-07-2020 00:00","27.93","","","","","",""
"30-07-2020 00:00","31-07-2020 00:00","18.78","","","","","",""
"31-07-2020 00:00","01-08-2020 00:00","44.24","","","","","",""
"01-08-2020 00:00","02-08-2020 00:00","35.83","","","","","",""
"02-08-2020 00:00","03-08-2020 00:00","24.85","","","","","",""
"03-08-2020 00:00","04-08-2020 00:00","28.78","","","","","",""
"04-08-2020 00:00","05-08-2020 00:00","25.55","","","","","",""
"05-08-2020 00:00","06-08-2020 00:00","41.36","","","","","",""
"06-08-2020 00:00","07-08-2020 00:00","23.69","","","","","",""
"07-08-2020 00:00","08-08-2020 00:00","27.44","","","","","",""
"08-08-2020 00:00","09-08-2020 00:00","57.28","","","","","",""
"09-08-2020 00:00","10-08-2020 00:00","31.06","","","","","",""
"10-08-2020 00:00","11-08-2020 00:00","39.66","","","","","",""
"11-08-2020 00:00","12-08-2020 00:00","46.21","","","","","",""
"12-08-2020 00:00","13-08-2020 00:00","23.21","","","","","",""
"13-08-2020 00:00","14-08-2020 00:00","14.97","","","","","",""
"14-08-2020 00:00","15-08-2020 00:00","24.38","","","","","",""
"15-08-2020 00:00","16-08-2020 00:00","34.9","","","","","",""
"16-08-2020 00:00","17-08-2020 00:00","22.39","","","","","",""
"17-08-2020 00:00","18-08-2020 00:00","30.29","","","","","",""
"18-08-2020 00:00","19-08-2020 00:00","36.07","","","","","",""
"19-08-2020 00:00","20-08-2020 00:00","22.53","","","","","",""
"20-08-2020 00:00","21-08-2020 00:00","20.72","","","","","",""
"21-08-2020 00:00","22-08-2020 00:00","22.05","","","","","",""
"22-08-2020 00:00","23-08-2020 00:00","19.12","","","","","",""
"23-08-2020 00:00","24-08-2020 00:00","18.67","","","","","",""
"24-08-2020 00:00","25-08-2020 00:00","17.65","","","","","",""
"25-08-2020 00:00","26-08-2020 00:00","17.77","","","","","",""
"26-08-2020 00:00","27-08-2020 00:00","24.02","","","","","",""
"27-08-2020 00:00","28-08-2020 00:00","32.1","","","","","",""
"28-08-2020 00:00","29-08-2020 00:00","37.91","","","","","",""
"29-08-2020 00:00","30-08-2020 00:00","46.49","","","","","",""
"30-08-2020 00:00","31-08-2020 00:00","None","","","","","",""
"31-08-2020 00:00","01-09-2020 00:00","12","","","","","",""
"01-09-2020 00:00","02-09-2020 00:00","19.53","","","","","",""
"02-09-2020 00:00","03-09-2020 00:00","27.54","","","","","",""
"03-09-2020 00:00","04-09-2020 00:00","42.63","","","","","",""
"04-09-2020 00:00","05-09-2020 00:00","55.82","","","","","",""
"05-09-2020 00:00","06-09-2020 00:00","60.52","","","","","",""
"06-09-2020 00:00","07-09-2020 00:00","31.68","","","","","",""
"07-09-2020 00:00","08-09-2020 00:00","46.72","","","","","",""
"08-09-2020 00:00","09-09-2020 00:00","41.68","","","","","",""
"09-09-2020 00:00","10-09-2020 00:00","67.56","","","","","",""
"10-09-2020 00:00","11-09-2020 00:00","63.67","","","","","",""
"11-09-2020 00:00","12-09-2020 00:00","66.18","","","","","",""
"12-09-2020 00:00","13-09-2020 00:00","75.83","","","","","",""
"13-09-2020 00:00","14-09-2020 00:00","77.31","","","","","",""
"14-09-2020 00:00","15-09-2020 00:00","78.59","","","","","",""
"15-09-2020 00:00","16-09-2020 00:00","77.56","","","","","",""
"16-09-2020 00:00","17-09-2020 00:00","75.04","","","","","",""
"17-09-2020 00:00","18-09-2020 00:00","61.43","","","","","",""
"18-09-2020 00:00","19-09-2020 00:00","49.99","","","","","",""
"19-09-2020 00:00","20-09-2020 00:00","66.72","","","","","",""
"20-09-2020 00:00","21-09-2020 00:00","79.38","","","","","",""
"21-09-2020 00:00","22-09-2020 00:00","66.11","","","","","",""
"22-09-2020 00:00","23-09-2020 00:00","47.83","","","","","",""
"23-09-2020 00:00","24-09-2020 00:00","35.31","","","","","",""
"24-09-2020 00:00","25-09-2020 00:00","44.12","","","","","",""
"25-09-2020 00:00","26-09-2020 00:00","67.97","","","","","",""
"26-09-2020 00:00","27-09-2020 00:00","87.92","","","","","",""
"27-09-2020 00:00","28-09-2020 00:00","49.88","","","","","",""
"28-09-2020 00:00","29-09-2020 00:00","83.09","","","","","",""
"29-09-2020 00:00","30-09-2020 00:00","89.09","","","","","",""
"30-09-2020 00:00","01-10-2020 00:00","70.55","","","","","",""
"01-10-2020 00:00","02-10-2020 00:00","77.27","","","","","",""
"02-10-2020 00:00","03-10-2020 00:00","98.93","","","","","",""
"03-10-2020 00:00","04-10-2020 00:00","105.73","","","","","",""
"04-10-2020 00:00","05-10-2020 00:00","92.57","","","","","",""
"05-10-2020 00:00","06-10-2020 00:00","87.84","","","","","",""
"06-10-2020 00:00","07-10-2020 00:00","100.49","","","","","",""
"07-10-2020 00:00","08-10-2020 00:00","130.69","","","","","",""
"08-10-2020 00:00","09-10-2020 00:00","100.64","","","","","",""
"09-10-2020 00:00","10-10-2020 00:00","101.47","","","","","",""
"10-10-2020 00:00","11-10-2020 00:00","112.29","","","","","",""
"11-10-2020 00:00","12-10-2020 00:00","123.46","","","","","",""
"12-10-2020 00:00","13-10-2020 00:00","152.33","","","","","",""
"13-10-2020 00:00","14-10-2020 00:00","176.88","","","","","",""
"14-10-2020 00:00","15-10-2020 00:00","157.53","","","","","",""
"15-10-2020 00:00","16-10-2020 00:00","165.44","","","","","",""
"16-10-2020 00:00","17-10-2020 00:00","128.85","","","","","",""
"17-10-2020 00:00","18-10-2020 00:00","162.43","","","","","",""
"18-10-2020 00:00","19-10-2020 00:00","123.21","","","","","",""
"19-10-2020 00:00","20-10-2020 00:00","150.44","","","","","",""
"20-10-2020 00:00","21-10-2020 00:00","132.61","","","","","",""
"21-10-2020 00:00","22-10-2020 00:00","138.57","","","","","",""
"22-10-2020 00:00","23-10-2020 00:00","193.34","","","","","",""
"23-10-2020 00:00","24-10-2020 00:00","246.87","","","","","",""
"24-10-2020 00:00","25-10-2020 00:00","229.49","","","","","",""
"25-10-2020 00:00","26-10-2020 00:00","193.63","","","","","",""
"26-10-2020 00:00","27-10-2020 00:00","198.42","","","","","",""
"27-10-2020 00:00","28-10-2020 00:00","185.82","","","","","",""
"28-10-2020 00:00","29-10-2020 00:00","201.21","","","","","",""
"29-10-2020 00:00","30-10-2020 00:00","229.54","","","","","",""
"30-10-2020 00:00","31-10-2020 00:00","275.07","","","","","",""
"31-10-2020 00:00","01-11-2020 00:00","295.08","","","","","",""
"01-11-2020 00:00","02-11-2020 00:00","274.4","","","","","",""
"02-11-2020 00:00","03-11-2020 00:00","191.39","","","","","",""
"03-11-2020 00:00","04-11-2020 00:00","179.9","","","","","",""
"04-11-2020 00:00","05-11-2020 00:00","369.8","","","","","",""
"05-11-2020 00:00","06-11-2020 00:00","300.22","","","","","",""
"06-11-2020 00:00","07-11-2020 00:00","304.96","","","","","",""
"07-11-2020 00:00","08-11-2020 00:00","382.47","","","","","",""
"08-11-2020 00:00","09-11-2020 00:00","381.11","","","","","",""
"09-11-2020 00:00","10-11-2020 00:00","624.63","","","","","",""
"10-11-2020 00:00","11-11-2020 00:00","609.78","","","","","",""
"11-11-2020 00:00","12-11-2020 00:00","233.2","","","","","",""
"12-11-2020 00:00","13-11-2020 00:00","203.5","","","","","",""
"13-11-2020 00:00","14-11-2020 00:00","254.23","","","","","",""
"14-11-2020 00:00","15-11-2020 00:00","474.95","","","","","",""
"15-11-2020 00:00","16-11-2020 00:00","192.57","","","","","",""
"16-11-2020 00:00","17-11-2020 00:00","86.41","","","","","",""
"17-11-2020 00:00","18-11-2020 00:00","87.74","","","","","",""
"18-11-2020 00:00","19-11-2020 00:00","118.67","","","","","",""
"19-11-2020 00:00","20-11-2020 00:00","149.15","","","","","",""
"20-11-2020 00:00","21-11-2020 00:00","165.93","","","","","",""
"21-11-2020 00:00","22-11-2020 00:00","135.61","","","","","",""
"22-11-2020 00:00","23-11-2020 00:00","179.96","","","","","",""
"23-11-2020 00:00","24-11-2020 00:00","199.91","","","","","",""
"24-11-2020 00:00","25-11-2020 00:00","270.51","","","","","",""
"25-11-2020 00:00","26-11-2020 00:00","342.27","","","","","",""
"26-11-2020 00:00","27-11-2020 00:00","52.5","","","","","",""
"27-11-2020 00:00","28-11-2020 00:00","103.99","","","","","",""
"28-11-2020 00:00","29-11-2020 00:00","135.48","","","","","",""
"29-11-2020 00:00","30-11-2020 00:00","176.81","","","","","",""
"30-11-2020 00:00","01-12-2020 00:00","216.25","","","","","",""
"01-12-2020 00:00","02-12-2020 00:00","273.18","","","","","",""
"02-12-2020 00:00","03-12-2020 00:00","244.8","","","","","",""
"03-12-2020 00:00","04-12-2020 00:00","250.12","","","","","",""
"04-12-2020 00:00","05-12-2020 00:00","387.46","","","","","",""
"05-12-2020 00:00","06-12-2020 00:00","298.12","","","","","",""
"06-12-2020 00:00","07-12-2020 00:00","372.05","","","","","",""
"07-12-2020 00:00","08-12-2020 00:00","268.82","","","","","",""
"08-12-2020 00:00","09-12-2020 00:00","265.35","","","","","",""
"09-12-2020 00:00","10-12-2020 00:00","228.96","","","","","",""
"10-12-2020 00:00","10-12-2020 00:00","147.5","","","","","",""
